일시,광진구,성동구,동대문구,중랑구
2021-01-01,4.198737401907316,3.311831858632593,3.6317291645213765,3.343308734919276
2021-01-02,4.348224288867146,3.4697518141897414,3.7150885631943575,3.972310889833336
2021-01-03,4.096465317165599,3.1860847234231624,3.576637239406126,4.314389500195816
2021-01-04,4.247293711695474,3.299341674008577,3.7373502705708974,4.656900281127227
2021-01-05,4.309448705968315,3.385223753159134,3.7859919628285326,4.782457188898455
2021-01-06,4.66759202131128,3.8182496035895555,4.135656626656097,4.857041908113317
2021-01-07,4.423640026899853,3.5252008333391367,3.8733441400189785,4.75920933007432
2021-01-08,4.351667240814389,3.4147222158571666,3.7687226243582344,4.972969782050613
2021-01-09,4.540001922206219,3.55820761258794,3.9525767284183484,5.1619261123742
2021-01-10,4.6059078563508145,3.6312982614791256,3.981028590369536,5.182898462654543
2021-01-11,4.322199642507593,3.3794666234263975,3.793374664397204,5.108320843865786
2021-01-12,4.358349561390483,3.487795903027193,3.80500700573404,5.0515756403507375
2021-01-13,4.483233149222451,3.5997746252859413,3.9118894082038147,5.310780314333697
2021-01-14,4.502291201787364,3.602720409229074,3.89151274487699,5.358877825647683
2021-01-15,4.211158256708301,3.295474034000122,3.7182606339805235,5.316421502402516
2021-01-16,4.351059289416079,3.4004189340844864,3.862577619208362,5.396448609044286
2021-01-17,4.362071776921789,3.426934094515764,3.8262407901123554,5.425626681819597
2021-01-18,4.6241319339967015,3.761792972647746,4.036937417086819,5.56834702860786
2021-01-19,4.377588775245985,3.4726676913666874,3.782170149433938,5.393363681736043
2021-01-20,4.368671404059621,3.4224997002049147,3.779140079999794,5.4243560705427365
2021-01-21,4.570584858675581,3.5857054556830303,3.9767335375666226,5.552523188720841
2021-01-22,4.634105737656485,3.65500882189005,3.986453414171789,5.564010606339724
2021-01-23,4.3569732899090985,3.4068048080362803,3.81007652138455,5.462659104183223
2021-01-24,4.369209190695111,3.484807387060606,3.803878974659296,5.423478297086912
2021-01-25,4.506762640283725,3.614054498888755,3.9257049719346777,5.574077639389177
2021-01-26,4.52942995593636,3.6216155114138626,3.910251947954896,5.55423219462447
2021-01-27,4.2393865790962195,3.315071341244512,3.738651594371074,5.466615372046322
2021-01-28,4.379589996796779,3.42026377935791,3.883746792893861,5.515785294657095
2021-01-29,4.392017734268121,3.448546927511742,3.8514433767800678,5.5325915413581495
2021-01-30,4.656736771479394,3.786329285884064,4.068735973379478,5.680945351086572
2021-01-31,4.410265317132492,3.497087160381123,3.8136105797053124,5.496784440147104
2021-02-01,4.3996030322607425,3.4451230770858783,3.8057585800711857,5.507814176156594
2021-02-02,4.601140725533752,3.6077415466516105,4.002699913791295,5.629081509040487
2021-02-03,4.664727605430702,3.67715770075414,4.013308884187178,5.639224293362308
2021-02-04,4.387413188472479,3.4288456537447147,3.8363967389908455,5.534816540939736
2021-02-05,4.400310854734489,3.507751382870358,3.8310454689718894,5.497319504965985
2021-02-06,4.53751369502496,3.636484230123299,3.9521621843852954,5.636376741570247
2021-02-07,4.560081132618756,3.643907797951745,3.936475465091291,5.609303409085792
2021-02-08,4.270007604482345,3.33734271563044,3.764796712600282,5.516880425758023
2021-02-09,4.410202654373364,3.442527781890265,3.9098549740552504,5.5627660889765655
2021-02-10,4.422591228055347,3.470758278147899,3.877360116276536,5.578244855819718
2021-02-11,4.687236686871195,3.8084535732583062,4.094339642180648,5.7271738602387
2021-02-12,4.440763248269755,3.5192149274570417,3.83923124657786,5.542035035577926
2021-02-13,4.430149249872964,3.467304333026774,3.8316081147412255,5.550955701901682
2021-02-14,4.631697341477324,3.6299402923728383,4.028580400827359,5.671491192492872
2021-02-15,4.695282394950646,3.699353087573894,4.039147171330417,5.681488504636214
2021-02-16,4.4179730135720146,3.4510442578665033,3.862260431321403,5.576756399496839
2021-02-17,4.430852366995771,3.5299230905579813,3.856868993677076,5.539434661980795
2021-02-18,4.568064909592573,3.6586712529653695,3.9780193744010144,5.677276004443447
2021-02-19,4.590635111082044,3.6660989139918674,3.9623437472069853,5.649441173942318
2021-02-20,4.3005624173134445,3.3595344544488994,3.7906687158368695,5.556511813285395
2021-02-21,4.440757698764356,3.464719740247618,3.9357287304705464,5.60205144320765
2021-02-22,4.453147356214177,3.492951804515108,3.903242959267203,5.617390223992904
2021-02-23,4.717794851142975,3.8306496924296227,4.12023734473948,5.766379554905673
2021-02-24,4.471321467451219,3.5414109430004377,3.8651281423412818,5.581137683591072
2021-02-25,4.460706132837236,3.489498755634806,3.8574941475376274,5.589836313283001
2021-02-26,4.662253936691679,3.652134194123125,4.05446496450257,5.710294724838064
2021-02-27,4.725839040707078,3.7215470893545874,4.065033737978737,5.720276683137294
2021-02-28,4.448529519980357,3.4732381638337193,3.888145792139481,5.615510414450764
2021-03-01,4.461409380169816,3.5521177975195943,3.882756261008846,5.578207102213974
2021-03-02,4.5986216542775935,3.6808655038310993,4.003905043844563,5.715920479350248
2021-03-03,4.621191779282605,3.6882930429593306,3.9882288901757845,5.6880055049627645
2021-03-04,4.331119062424794,3.381728564869593,3.816553682186617,5.595022850357283
2021-03-05,4.471314337467819,3.4869138441302923,3.9616136136075264,5.6405260617822535
2021-03-06,4.483703964926857,3.515145861701365,3.9291274111195307,5.655850108255402
2021-03-07,4.748351403510909,3.8528436724003816,4.146121091298181,5.804845785099552
2021-03-08,4.501878018299652,3.5636049260573075,3.8910119271936705,5.61959306842964
2021-03-09,4.491262720662409,3.5116927861303915,3.8833784479892133,5.628268331764663
2021-03-10,4.692810532479669,3.6743282401302144,4.080349334684432,5.7487186314156355
2021-03-11,4.756395635096432,3.7437411323827026,4.090918013091608,5.758698973483445
2021-03-12,4.479086118225849,3.4954322097152257,3.914030124485804,5.653929109354067
2021-03-13,4.491965964391731,3.574311819546934,3.908640502864521,5.616627735789454
2021-03-14,4.629178245929326,3.7030595394412895,4.029789361542305,5.754327646766685
2021-03-15,4.651748373050869,3.7104870821997356,4.014113232862092,5.726404238596973
2021-03-16,4.3616756568319985,3.4039226046623337,3.84243803325596,5.633415975706134
2021-03-17,4.501870932052347,3.5091078841177397,3.9874979686264758,5.678915354700677
2021-03-18,4.51426056034131,3.5373399030794634,3.9550117866089485,5.694237850620936
2021-03-19,4.778908000484574,3.875037716078011,4.172005500263612,5.843234195230608
2021-03-20,4.532434615315367,3.5857989696430304,3.916896334341532,5.657980337268967
2021-03-21,4.521819316654877,3.5338868283033564,3.9092628306647064,5.666653141713716
2021-03-22,4.723367128251785,3.6965222818412364,4.106233714050252,5.787102587727855
2021-03-23,4.786952230907252,3.7659351741824407,4.116802396969776,5.797082759711152
2021-03-24,4.509642713929959,3.517626251429988,3.9399145056474465,5.692312517223665
2021-03-25,4.522522560483912,3.5965058619720898,3.934524888321206,5.655011347665655
2021-03-26,4.659734841815903,3.7252535814619385,4.055673743399227,5.792709841576315
2021-03-27,4.682304968878877,3.732681124112274,4.039997613532958,5.764785545905386
2021-03-28,4.392232252642325,3.426116646558423,3.8683224135289342,5.671796692845128
2021-03-29,4.532427527857766,3.5313019260080307,4.0133823487119855,5.717295668546485
2021-03-30,4.544817156123763,3.5595339449283405,3.98089616572285,5.732618001299238
2021-03-31,4.8094645962238785,3.897231757858406,4.197889877788611,5.881614416178598
2021-04-01,4.562991211053509,3.6079930114261622,3.9427807119527998,5.696360438116864
2021-04-02,4.552375912421335,3.556080870128562,3.935147209437529,5.705032983808667
2021-04-03,4.75392372402434,3.7187163236801983,4.132118092980165,5.825482339993189
2021-04-04,4.817508826678737,3.7881292160187603,4.142686775685516,5.835462494078163
2021-04-05,4.5401993097043984,3.5398202932688383,3.9657988844921235,5.730692211775423
2021-04-06,4.553079156247611,3.618699903789784,3.9604092669620234,5.6933910636853104
2021-04-07,4.690291437585292,3.747447623291679,4.081558122210904,5.8310894084758536
2021-04-08,4.712861564649885,3.7548751659452346,4.0658819924009295,5.803165019411792
2021-04-09,4.422788848413823,3.448310688391874,3.8942067924157917,5.710176104247089
2021-04-10,4.5629841236294,3.553495967841654,4.039266727607742,5.755675037509276
