ds,yhat,district
2022-01-01,4.198737401907316,광진구
2022-01-02,4.348224288867146,광진구
2022-01-03,4.096465317165599,광진구
2022-01-04,4.247293711695474,광진구
2022-01-05,4.309448705968315,광진구
2022-01-06,4.66759202131128,광진구
2022-01-07,4.423640026899853,광진구
2022-01-08,4.351667240814389,광진구
2022-01-09,4.540001922206219,광진구
2022-01-10,4.6059078563508145,광진구
2022-01-11,4.322199642507593,광진구
2022-01-12,4.358349561390483,광진구
2022-01-13,4.483233149222451,광진구
2022-01-14,4.502291201787364,광진구
2022-01-15,4.211158256708301,광진구
2022-01-16,4.351059289416079,광진구
2022-01-17,4.362071776921789,광진구
2022-01-18,4.6241319339967015,광진구
2022-01-19,4.377588775245985,광진구
2022-01-20,4.368671404059621,광진구
2022-01-21,4.570584858675581,광진구
2022-01-22,4.634105737656485,광진구
2022-01-23,4.3569732899090985,광진구
2022-01-24,4.369209190695111,광진구
2022-01-25,4.506762640283725,광진구
2022-01-26,4.52942995593636,광진구
2022-01-27,4.2393865790962195,광진구
2022-01-28,4.379589996796779,광진구
2022-01-29,4.392017734268121,광진구
2022-01-30,4.656736771479394,광진구
2022-01-31,4.410265317132492,광진구
2022-02-01,4.3996030322607425,광진구
2022-02-02,4.601140725533752,광진구
2022-02-03,4.664727605430702,광진구
2022-02-04,4.387413188472479,광진구
2022-02-05,4.400310854734489,광진구
2022-02-06,4.53751369502496,광진구
2022-02-07,4.560081132618756,광진구
2022-02-08,4.270007604482345,광진구
2022-02-09,4.410202654373364,광진구
2022-02-10,4.422591228055347,광진구
2022-02-11,4.687236686871195,광진구
2022-02-12,4.440763248269755,광진구
2022-02-13,4.430149249872964,광진구
2022-02-14,4.631697341477324,광진구
2022-02-15,4.695282394950646,광진구
2022-02-16,4.4179730135720146,광진구
2022-02-17,4.430852366995771,광진구
2022-02-18,4.568064909592573,광진구
2022-02-19,4.590635111082044,광진구
2022-02-20,4.3005624173134445,광진구
2022-02-21,4.440757698764356,광진구
2022-02-22,4.453147356214177,광진구
2022-02-23,4.717794851142975,광진구
2022-02-24,4.471321467451219,광진구
2022-02-25,4.460706132837236,광진구
2022-02-26,4.662253936691679,광진구
2022-02-27,4.725839040707078,광진구
2022-02-28,4.448529519980357,광진구
2022-03-01,4.461409380169816,광진구
2022-03-02,4.5986216542775935,광진구
2022-03-03,4.621191779282605,광진구
2022-03-04,4.331119062424794,광진구
2022-03-05,4.471314337467819,광진구
2022-03-06,4.483703964926857,광진구
2022-03-07,4.748351403510909,광진구
2022-03-08,4.501878018299652,광진구
2022-03-09,4.491262720662409,광진구
2022-03-10,4.692810532479669,광진구
2022-03-11,4.756395635096432,광진구
2022-03-12,4.479086118225849,광진구
2022-03-13,4.491965964391731,광진구
2022-03-14,4.629178245929326,광진구
2022-03-15,4.651748373050869,광진구
2022-03-16,4.3616756568319985,광진구
2022-03-17,4.501870932052347,광진구
2022-03-18,4.51426056034131,광진구
2022-03-19,4.778908000484574,광진구
2022-03-20,4.532434615315367,광진구
2022-03-21,4.521819316654877,광진구
2022-03-22,4.723367128251785,광진구
2022-03-23,4.786952230907252,광진구
2022-03-24,4.509642713929959,광진구
2022-03-25,4.522522560483912,광진구
2022-03-26,4.659734841815903,광진구
2022-03-27,4.682304968878877,광진구
2022-03-28,4.392232252642325,광진구
2022-03-29,4.532427527857766,광진구
2022-03-30,4.544817156123763,광진구
2022-03-31,4.8094645962238785,광진구
2022-04-01,4.562991211053509,광진구
2022-04-02,4.552375912421335,광진구
2022-04-03,4.75392372402434,광진구
2022-04-04,4.817508826678737,광진구
2022-04-05,4.5401993097043984,광진구
2022-04-06,4.553079156247611,광진구
2022-04-07,4.690291437585292,광진구
2022-04-08,4.712861564649885,광진구
2022-04-09,4.422788848413823,광진구
2022-04-10,4.5629841236294,광진구
2022-04-11,4.575373751896033,광진구
2022-04-12,4.840021191997343,광진구
2022-04-13,4.593547806827005,광진구
2022-04-14,4.582932508194048,광진구
2022-04-15,4.784480319796885,광진구
2022-04-16,4.8480654224513104,광진구
2022-04-17,4.570755905476889,광진구
2022-04-18,4.5836357520204,광진구
2022-04-19,4.720848033357924,광진구
2022-04-20,4.743418160422472,광진구
2022-04-21,4.453345444186397,광진구
2022-04-22,4.59354071940197,광진구
2022-04-23,4.6059303476685844,광진구
2022-04-24,4.870577787769862,광진구
2022-04-25,4.624104402599523,광진구
2022-04-26,4.613489103966587,광진구
2022-04-27,4.815036915569428,광진구
2022-04-28,4.878622018223853,광진구
2022-04-29,4.601312501249435,광진구
2022-04-30,4.614192347792938,광진구
2022-05-01,4.751404629130465,광진구
2022-05-02,4.773974756195015,광진구
2022-05-03,4.48390203995894,광진구
2022-05-04,4.624097315174512,광진구
2022-05-05,4.636486943441129,광진구
2022-05-06,4.901134383542407,광진구
2022-05-07,4.6546609983720675,광진구
2022-05-08,4.644045699739131,광진구
2022-05-09,4.845593511341972,광진구
2022-05-10,4.9091786139963975,광진구
2022-05-11,4.631869097021979,광진구
2022-05-12,4.644748943565482,광진구
2022-05-13,4.781961224903009,광진구
2022-05-14,4.804531351967559,광진구
2022-05-15,4.514458635731484,광진구
2022-05-16,4.654653910947056,광진구
2022-05-17,4.6670435392136715,광진구
2022-05-18,4.93169097931495,광진구
2022-05-19,4.685217594144611,광진구
2022-05-20,4.674602295511674,광진구
2022-05-21,4.8761501071145155,광진구
2022-05-22,4.939735209768941,광진구
2022-05-23,4.662425692794522,광진구
2022-05-24,4.675305539338025,광진구
2022-05-25,4.812517820675552,광진구
2022-05-26,4.835087947740102,광진구
2022-05-27,4.545015231504027,광진구
2022-05-28,4.685210506719599,광진구
2022-05-29,4.697600134986215,광진구
2022-05-30,4.962247575087493,광진구
2022-05-31,4.715774189917154,광진구
2022-06-01,4.705158891284217,광진구
2022-06-02,4.906706702887059,광진구
2022-06-03,4.970291805541484,광진구
2022-06-04,4.692982288567065,광진구
2022-06-05,4.705862135110568,광진구
2022-06-06,4.843074416448095,광진구
2022-06-07,4.865644543512645,광진구
2022-06-08,4.57557182727657,광진구
2022-06-09,4.715767102492142,광진구
2022-06-10,4.728156730758758,광진구
2022-06-11,4.992804170860036,광진구
2022-06-12,4.746330785689697,광진구
2022-06-13,4.73571548705676,광진구
2022-06-14,4.937263298659602,광진구
2022-06-15,5.000848401314027,광진구
2022-06-16,4.723538884339608,광진구
2022-06-17,4.736418730883111,광진구
2022-06-18,4.873631012220638,광진구
2022-06-19,4.896201139285188,광진구
2022-06-20,4.606128423049113,광진구
2022-06-21,4.7463236982646855,광진구
2022-06-22,4.758713326531301,광진구
2022-06-23,5.023360766632579,광진구
2022-06-24,4.77688738146224,광진구
2022-06-25,4.766272082829303,광진구
2022-06-26,4.967819894432145,광진구
2022-06-27,5.03140499708657,광진구
2022-06-28,4.754095480112151,광진구
2022-06-29,4.766975326655654,광진구
2022-06-30,4.904187607993181,광진구
2022-07-01,4.926757735057731,광진구
2022-07-02,4.636685018821656,광진구
2022-07-03,4.776880294037229,광진구
2022-07-04,4.789269922303844,광진구
2022-07-05,5.053917362405122,광진구
2022-07-06,4.807443977234783,광진구
2022-07-07,4.796828678601846,광진구
2022-07-08,4.998376490204688,광진구
