일시,광진구,동대문구,성동구,중랑구
2021-01-01,2.274850025085952,1.9365219749716585,2.0265215124911924,1.410081259394444
2021-01-02,2.8207778079292307,2.284637464321081,2.7403504188221466,1.5347568073842766
2021-01-03,2.164532895283008,1.608369536342935,2.315736302659025,0.9834529469979642
2021-01-04,2.462586189176175,2.5627262014704955,2.849365284445877,1.2493298468504948
2021-01-05,2.7032622034423155,2.966877208809096,3.128623127092957,1.5245831015530644
2021-01-06,2.330338964831886,2.6047690101690315,2.694847320150925,1.2574606512136948
2021-01-07,2.4148225913136194,2.782108609204074,2.913959339051494,1.3862307625546406
2021-01-08,2.5387466467630917,2.894562093537833,3.108321715578366,1.4289189785482488
2021-01-09,2.5210496264160875,2.290463894111061,2.751155783484203,1.2859165973585327
2021-01-10,1.882500360967164,1.614383286015881,2.327801719659377,0.7431897827030616
2021-01-11,2.203617682973392,2.5814513938693544,2.866722999141528,1.0214577103935452
2021-01-12,2.467458668048847,2.9930721636463167,3.1493990360981243,1.3093789884835865
2021-01-13,2.114905043770269,2.631483095343732,2.714978267786025,1.0527884177344768
2021-01-14,2.222486329558909,2.813049400377444,2.9361410646402204,1.194033194256094
2021-01-15,2.370051340375501,2.928563270308712,3.1319923756438244,1.2490286174946343
2021-01-16,2.3755825970646938,2.321129464979657,2.773247298395301,1.117723163532251
2021-01-17,1.7573573574920742,1.6406030218800114,2.347697698189962,0.5851438287882663
2021-01-18,2.104025940706463,2.6160317034444103,2.8889082183645787,0.8773029716743673
2021-01-19,2.3933747782595525,3.0310871691356707,3.172480984900844,1.1793204802761506
2021-01-20,2.063386247389372,2.666329610042604,2.7354016380620507,0.9346163585439116
2021-01-21,2.1961103762898677,2.8488119670314243,2.957132655083892,1.0896151524767108
2021-01-22,2.369208500515541,2.9644797000187397,3.15354134873745,1.158120418379807
2021-01-23,2.3997046016978385,2.351232482162536,2.7928530587078746,1.0396363923530034
2021-01-24,1.8033819690393669,1.664232910123655,2.3653241657670314,0.5182495690979853
2021-01-25,2.1770201843171826,2.646464202543292,2.909629496737252,0.8252642403154378
2021-01-26,2.493132986291092,3.0638814001880026,3.1954989556689606,1.1422604114951116
2021-01-27,2.1868015308132,2.6953797503232284,2.7577563912391683,0.9102422152656092
2021-01-28,2.3455946640414336,2.8787088549331696,2.9826432464449923,1.079710562493835
2021-01-29,2.544984733863995,2.9949728325970946,3.182781852334494,1.1623563720553776
2021-01-30,2.6010358590322094,2.37686803444822,2.823896210886633,1.0572388376461097
2021-01-31,2.027036222931689,1.6848626960255433,2.3986914037311142,0.5475032427670089
2021-02-01,2.427893721073965,2.675869852946213,2.950932420652736,0.8697451967595419
2021-02-02,2.7708486400257417,3.0981185613280298,3.2444527762331483,1.2020043015696078
2021-02-03,2.488080345707405,2.7288260505843445,2.811886301784376,0.9828683929512096
2021-02-04,2.6726761255137026,2.916421847104813,3.0462212407662315,1.1669144170793324
2021-02-05,2.8979191555322834,3.0371484008041048,3.2567989857448936,1.2637204223436933
