일시,Gwangjin,Dongdaemun,Seongdong,Jungnang
20220101,1.6633140011291707,1.1556696161232227,0.7320935358404936,0.9080057895706108
20220102,2.3633830595847574,1.1431285131523183,1.607475524920023,0.8833796049872054
20220103,2.873503360670993,1.9174876617051047,2.147643665057654,1.3033674010622915
20220104,2.875759575512715,1.843481441500146,2.4329716940100257,1.3103710530124228
20220105,2.955378646741702,1.9727487168046736,2.5210862173238953,1.348182379956779
20220106,2.8722587466435563,1.8811298318572431,2.4467547994777687,1.3625544468633817
20220107,2.950920527587427,1.9109832479963997,2.381097326282348,1.340251494432382
20220108,2.879306117115878,1.6885933747459982,1.9959763958587664,1.3357233697501303
20220109,2.460264906149521,1.4763469843525492,1.8938463112962145,1.0847795948276935
20220110,2.987671448728716,1.8729621325413313,2.3159032935870028,1.2463765015689134
20220111,3.039574165026956,1.856839364342009,2.4019801410174275,1.435841790981964
20220112,3.025484211512154,1.9455820877258814,2.4403630611795464,1.4253517006621075
20220113,2.95455288814081,1.9841910016704838,2.427053235852563,1.4179967794034078
20220114,2.9909179427599972,2.018535972575635,2.3751638585881425,1.384347738453039
20220115,2.8199654710923765,1.8049890659063184,2.038523713865991,1.3969242195039537
20220116,2.5882603356646623,1.6057468691849797,1.9191068804277327,1.2338429096938668
20220117,2.9250107564798355,1.9989231317384222,2.4219934268497023,1.3933546993230193
20220118,2.868543428612919,1.972654891833335,2.4752902627796076,1.4316334726516022
20220119,3.0517372965771576,2.09252040609014,2.5462826217112173,1.4654900886946234
20220120,3.0367666934630586,2.1353135902063753,2.655376385604584,1.525743139798758
20220121,3.043318256498496,2.2145276638282914,2.5420342450981526,1.5112925147276324
20220122,3.1874015347229316,2.011690431232065,2.338002268665997,1.5755314204120316
20220123,2.847943100279356,1.8535283412316874,2.3323567104976024,1.3930931595084495
20220124,3.171827913243567,2.2485893119340457,2.7172906531526717,1.5738736589282676
20220125,3.0048485168887953,2.241338956261669,2.71068238171934,1.6108480398462817
20220126,3.2998394744043993,2.2730360424635494,2.824489051356453,1.6210276790577813
20220127,2.9888155295045316,2.2673213043229143,2.7517528029372693,1.5922284749361426
20220128,3.0517556088941227,2.3416401506621174,2.471819523799585,1.6177082971201644
20220129,3.0174266742538824,2.061645337979529,2.4250932205658433,1.847841872248683
20220130,2.7249063620348792,1.7676319866139891,2.634891496625551,1.6055634657496358
20220131,2.191241053075325,1.7099311013656737,2.0369976970152677,1.6650904590951008
20220201,1.9377900885488604,1.3283150876066134,1.5806329940952217,1.047334262531667
